"filename", "language", "CMake", "CMake Cache", "C++", "JSON", "Makefile", "XML", "Log", "YAML", "TypeScript", "C", "comment", "blank", "total"
"/home/lxr/workspace/Computer-Graphics/learn/cpp/build/CMakeCache.txt", "CMake Cache", 0, 297, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 361
"/home/lxr/workspace/Computer-Graphics/learn/cpp/build/CMakeFiles/3.16.3/CMakeCCompiler.cmake", "CMake", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 77
"/home/lxr/workspace/Computer-Graphics/learn/cpp/build/CMakeFiles/3.16.3/CMakeCXXCompiler.cmake", "CMake", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 89
"/home/lxr/workspace/Computer-Graphics/learn/cpp/build/CMakeFiles/3.16.3/CMakeSystem.cmake", "CMake", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"/home/lxr/workspace/Computer-Graphics/learn/cpp/build/cmake_install.cmake", "CMake", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 56
"/home/lxr/workspace/Computer-Graphics/learn/cpp/build/src/cmake_install.cmake", "CMake", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 47
"/home/lxr/workspace/Computer-Graphics/learn/cpp/build/src/test/cmake_install.cmake", "CMake", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40
"/home/lxr/workspace/Computer-Graphics/learn/cpp/build/src/test2/cmake_install.cmake", "CMake", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40
"d:/workspace/MyRepositories/Computer-Graphics/learn/CPP/build/.cmake/api/v1/query/client-vscode/query.json", "JSON", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1
"d:/workspace/MyRepositories/Computer-Graphics/learn/CPP/build/.cmake/api/v1/reply/cache-v2-22f8ba38f913e7de351b.json", "JSON", 0, 0, 0, -1563, 0, 0, 0, 0, 0, 0, 0, -1, -1564
"d:/workspace/MyRepositories/Computer-Graphics/learn/CPP/build/.cmake/api/v1/reply/cmakeFiles-v1-1f3fcc361983e296c213.json", "JSON", 0, 0, 0, -175, 0, 0, 0, 0, 0, 0, 0, -1, -176
"d:/workspace/MyRepositories/Computer-Graphics/learn/CPP/build/.cmake/api/v1/reply/codemodel-v2-690ece489132d39a3a49.json", "JSON", 0, 0, 0, -92, 0, 0, 0, 0, 0, 0, 0, -1, -93
"d:/workspace/MyRepositories/Computer-Graphics/learn/CPP/build/.cmake/api/v1/reply/directory-.-Debug-d0094a50bb2071803777.json", "JSON", 0, 0, 0, -14, 0, 0, 0, 0, 0, 0, 0, -1, -15
"d:/workspace/MyRepositories/Computer-Graphics/learn/CPP/build/.cmake/api/v1/reply/directory-src-Debug-c94b7c2814d5a21df52c.json", "JSON", 0, 0, 0, -14, 0, 0, 0, 0, 0, 0, 0, -1, -15
"d:/workspace/MyRepositories/Computer-Graphics/learn/CPP/build/.cmake/api/v1/reply/directory-src.test-Debug-f24e00b7602ac2d4a339.json", "JSON", 0, 0, 0, -14, 0, 0, 0, 0, 0, 0, 0, -1, -15
