"filename", "language", "C++", "comment", "blank", "total"
"d:\workspace\MyRepositories\Computer-Graphics\learn\CPP\src\test\test1.cpp", "C++", 0, 0, -1, -1
"Total", "-", 0, 0, -1, -1
