"filename", "language", "C++", "CMake Cache", "JSON", "Makefile", "CMake", "XML", "Log", "YAML", "TypeScript", "C", "comment", "blank", "total"
"d:\workspace\MyRepositories\Computer-Graphics\learn\CPP\build\CMakeFiles\Makefile.cmake", "CMake", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 6, 59
"d:\workspace\MyRepositories\Computer-Graphics\learn\CPP\build\Makefile", "Makefile", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 44, 41, 154
"d:\workspace\MyRepositories\Computer-Graphics\learn\CPP\build\Testing\20230618-0741\Test.xml", "XML", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 1, 35
"d:\workspace\MyRepositories\Computer-Graphics\learn\CPP\build\Testing\Temporary\LastTest_20230618-0741.log", "Log", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\workspace\MyRepositories\Computer-Graphics\learn\CPP\build\cmake_install.cmake", "CMake", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 10, 56
"d:\workspace\MyRepositories\Computer-Graphics\learn\CPP\build\compile_commands.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\workspace\MyRepositories\Computer-Graphics\learn\CPP\build\src\CMakeFiles\CMakeDirectoryInformation.cmake", "CMake", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"d:\workspace\MyRepositories\Computer-Graphics\learn\CPP\build\src\Makefile", "Makefile", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 40, 38, 140
"d:\workspace\MyRepositories\Computer-Graphics\learn\CPP\build\src\cmake_install.cmake", "CMake", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 9, 46
"d:\workspace\MyRepositories\Computer-Graphics\learn\CPP\build\src\test\CMakeFiles\CMakeDirectoryInformation.cmake", "CMake", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"d:\workspace\MyRepositories\Computer-Graphics\learn\CPP\build\src\test\CMakeFiles\test_test1.cpp.dir\DependInfo.cmake", "CMake", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"d:\workspace\MyRepositories\Computer-Graphics\learn\CPP\build\src\test\CMakeFiles\test_test1.cpp.dir\cmake_clean.cmake", "CMake", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\workspace\MyRepositories\Computer-Graphics\learn\CPP\build\src\test\CMakeFiles\test_test1.cpp.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"d:\workspace\MyRepositories\Computer-Graphics\learn\CPP\build\src\test\Makefile", "Makefile", 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 46, 47, 182
"d:\workspace\MyRepositories\Computer-Graphics\learn\CPP\build\src\test\cmake_install.cmake", "CMake", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 7, 40
"d:\workspace\MyRepositories\Computer-Graphics\learn\CPP\src\test\test1.cpp", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"Total", "-", 655, 391, 2294, 220, 367, 34, 3, 581, 2, 659, 258, 649, 6113
